Year,Position,Province
2022,39,Guadalajara
2023,39,Guadalajara
2019,22,Huelva
2020,24,Huelva
2021,25,Huelva
2022,24,Huelva
2023,24,Huelva
2019,31,Huesca
2020,31,Huesca
2021,31,Huesca
2022,31,Huesca
2023,31,Huesca
2019,1,Islas Baleares
2020,6,Islas Baleares
2021,1,Islas Baleares
2022,1,Islas Baleares
2023,1,Islas Baleares
2019,43,Jaén
2020,42,Jaén
2021,40,Jaén
2022,40,Jaén
2023,42,Jaén
2019,44,La Rioja
2020,46,La Rioja
2021,44,La Rioja
2022,45,La Rioja
2023,45,La Rioja
2019,4,Las Palmas
2020,3,Las Palmas
2021,4,Las Palmas
2022,3,Las Palmas
2023,3,Las Palmas
2019,40,León
2020,41,León
2021,39,León
2022,38,León
2023,38,León
2019,24,Lérida
2020,19,Lérida
2021,21,Lérida
2022,22,Lérida
2023,21,Lérida
2019,45,Lugo
2020,47,Lugo
2021,45,Lugo
2022,43,Lugo
2023,46,Lugo
2019,3,Madrid
2020,2,Madrid
2021,3,Madrid
2022,4,Madrid
2023,4,Madrid
2019,33,Melilla
2020,39,Melilla
2021,49,Melilla
2022,44,Melilla
2023,41,Melilla
2019,14,Murcia
2020,12,Murcia
2021,13,Murcia
2022,14,Murcia
2023,14,Murcia
2019,5,Málaga
2020,7,Málaga
2021,7,Málaga
2022,5,Málaga
2023,5,Málaga
2019,18,Navarra
2020,15,Navarra
2021,15,Navarra
2022,18,Navarra
2023,17,Navarra
2019,28,Orense
2020,27,Orense
2021,30,Orense
2022,32,Orense
2023,29,Orense
2019,42,Palencia
2020,45,Palencia
2021,43,Palencia
2022,46,Palencia
2023,47,Palencia
2019,16,Pontevedra
2020,16,Pontevedra
2021,14,Pontevedra
2022,16,Pontevedra
2023,16,Pontevedra
2019,23,Salamanca
2020,23,Salamanca
2021,27,Salamanca
2022,26,Salamanca
2023,25,Salamanca
2019,8,Santa Cruz de Tenerife
2020,8,Santa Cruz de Tenerife
2021,8,Santa Cruz de Tenerife
2022,6,Santa Cruz de Tenerife
2023,7,Santa Cruz de Tenerife
2019,48,Segovia
2020,49,Segovia
2021,50,Segovia
2022,49,Segovia
2023,48,Segovia
2019,13,Sevilla
2020,14,Sevilla
2021,16,Sevilla
2022,13,Sevilla
2023,13,Sevilla
2019,51,Soria
2020,50,Soria
2021,48,Soria
2022,50,Soria
2023,50,Soria
2019,9,Tarragona
2020,13,Tarragona
2021,12,Tarragona
2022,11,Tarragona
2023,12,Tarragona
2019,50,Teruel
2020,51,Teruel
2021,51,Teruel
2022,51,Teruel
2023,51,Teruel
2019,35,Toledo
2020,35,Toledo
2021,35,Toledo
2022,33,Toledo
2023,33,Toledo
2019,0,Total
2020,0,Total
2021,0,Total
2022,0,Total
2023,0,Total
2019,10,Valencia
2020,9,Valencia
2021,9,Valencia
2022,9,Valencia
2023,9,Valencia
2019,37,Valladolid
2020,34,Valladolid
2021,34,Valladolid
2022,35,Valladolid
2023,35,Valladolid
2019,36,Zamora
2020,33,Zamora
2021,36,Zamora
2022,37,Zamora
2023,37,Zamora
2019,25,Zaragoza
2020,20,Zaragoza
2021,19,Zaragoza
2022,23,Zaragoza
2023,26,Zaragoza
2019,52,Ávila
2020,52,Ávila
2021,52,Ávila
2022,52,Ávila
2023,52,Ávila
